%time,position1,effort1,position2,effort2
8.20900000000089,-1.69785922548,-0.528483450413,-7.72632663761,29.0553131104
8.21000000000089,-1.70321676197,-0.528483450413,-7.724462089,29.0553131104
8.21100000000089,-1.70857987588,-0.528483450413,-7.72249866983,29.0553131104
8.21200000000089,-1.71394821933,-0.528483450413,-7.72043685154,29.0553131104
8.21300000000089,-1.71932145042,-0.528483450413,-7.71827710318,29.0553131104
8.21400000000089,-1.72469923327,-0.528483450413,-7.71601989144,29.0553131104
8.21500000000089,-1.73008123794,-0.528483450413,-7.71366568063,29.0553131104
8.21600000000089,-1.73546714047,-0.528483450413,-7.71121493273,29.0553131104
8.21700000000089,-1.74085662281,-0.528483450413,-7.70866810737,29.0553131104
8.21800000000088,-1.74624937283,-0.528483450413,-7.70602566186,29.0553131104
8.21900000000088,-1.75164508429,-0.528483450413,-7.70328805118,29.0553131104
8.22000000000088,-1.75704345682,-0.528483450413,-7.70045572801,29.0553131104
8.22100000000088,-1.76244419586,-0.528483450413,-7.69752914272,29.0553131104
8.22200000000088,-1.76784701271,-0.528483450413,-7.69450874339,29.0553131104
8.22300000000088,-1.77325162442,-0.528483450413,-7.6913949758,29.0553131104
8.22400000000088,-1.77865775382,-0.528483450413,-7.68818828344,29.0553131104
8.22500000000088,-1.78406512945,-0.528483450413,-7.68488910751,29.0553131104
8.22600000000088,-1.78947348555,-0.528483450413,-7.68149788693,29.0553131104
8.22700000000088,-1.79488256203,-0.528483450413,-7.67801505835,29.0553131104
8.22800000000088,-1.80029210441,-0.528483450413,-7.67444105611,29.0553131104
8.22900000000088,-1.80570186383,-0.528483450413,-7.67077631231,29.0553131104
8.23000000000088,-1.81111159695,-0.528483450413,-7.66702125674,29.0553131104
8.23100000000088,-1.81652106597,-0.528483450413,-7.66317631692,29.0553131104
8.23200000000088,-1.82193003856,-0.528483450413,-7.65924191812,29.0553131104
8.23300000000088,-1.82733828782,-0.528483450413,-7.65521848332,29.0553131104
8.23400000000088,-1.83274559223,-0.528483450413,-7.6511064332,29.0553131104
8.23500000000088,-1.83815173565,-0.528483450413,-7.64690618622,29.0553131104
8.23600000000087,-1.84355650722,-0.528483450413,-7.64261815854,29.0553131104
8.23700000000087,-1.84895970134,-0.528483450413,-7.63824276406,29.0553131104
8.23800000000087,-1.8543611176,-0.528483450413,-7.63378041441,29.0553131104
8.23900000000087,-1.85976056078,-0.528483450413,-7.62923151897,29.0553131104
8.24000000000087,-1.86515784075,-0.528483450413,-7.62459648487,29.0553131104
8.24100000000087,-1.87055277244,-0.528483450413,-7.61987571697,29.0553131104
8.24200000000087,-1.87594517576,-0.528483450413,-7.6150696179,29.0553131104
8.24300000000087,-1.88133487559,-0.528483450413,-7.61017858804,29.0553131104
