%time,Position1,Effort1,Position,2,Effort2
19.9580000000014,5.84328525437,17.9250736237,-7.45944029578,0,
19.9590000000014,5.84516956228,16.4112873077,-7.45981588291,0,
19.9600000000014,5.84706122087,16.4112873077,-7.46018952772,0,
19.9610000000014,5.84896017756,16.4112873077,-7.46056121343,0,
19.9620000000014,5.85086173481,16.4112873077,-7.46092462628,0,
19.9630000000014,5.85276589242,16.4112873077,-7.46127994359,0,
19.9640000000014,5.85467264935,16.4112873077,-7.46162733874,0,
19.9650000000014,5.85658200375,16.4112873077,-7.46196698129,0,
19.9660000000014,5.85849395304,16.4112873077,-7.46229903714,0,
19.9670000000014,5.86040849389,13.9268026352,-7.46262366868,0,
19.9680000000014,5.86232562225,13.9268026352,-7.46294103489,0,
19.9690000000014,5.86424533339,13.9268026352,-7.46325129143,0,
19.9700000000014,5.86616762192,13.9268026352,-7.4635545908,0,
19.9710000000014,5.86808486127,9.71316719055,-7.46384076977,0,
19.9720000000014,5.8699971293,9.71316719055,-7.46411028813,0,
19.9730000000014,5.87190450142,9.71316719055,-7.46436359427,0,
19.9740000000014,5.87379412801,9.71316719055,-7.46458364663,0,
19.9750000000014,5.87566622279,9.71316719055,-7.46477140124,0,
19.9760000000014,5.87752099409,9.71316719055,-7.46492778866,0,
19.9770000000014,5.87935864506,9.71316719055,-7.46505371494,0,
19.9780000000014,5.88117937382,9.71316719055,-7.4651500625,0,
19.9790000000014,5.8829833736,4.31139135361,-7.46521769092,0,
19.9800000000014,5.88477083293,4.31139135361,-7.46525743767,0,
19.9810000000014,5.88654193575,4.31139135361,-7.46527011882,0,
19.9820000000014,5.88828112624,4.31139135361,-7.4652377863,0,
19.9830000000014,5.88998874073,4.31139135361,-7.46516179237,0,
19.9840000000014,5.89166510787,4.31139135361,-7.46504345197,0,
19.9850000000014,5.89331054896,4.31139135361,-7.46488404409,0,
19.9860000000014,5.89492537812,4.31139135361,-7.46468481298,0,
19.9870000000014,5.89650990261,0,-7.46444696931,0,
19.9880000000014,5.89806442295,0,-7.46417169123,0,
19.9890000000014,5.8995892332,0,-7.46386012544,0,
19.9900000000014,5.90107139765,0,-7.46349549663,0,
19.9910000000014,5.90251134195,0,-7.46307941283,0,
19.9920000000015,5.9039094827,0,-7.46261343697,0,
19.9930000000015,5.90526622782,0,-7.46209908836,0,
19.9940000000015,5.90658197679,0,-7.4615378442,0,
19.9950000000015,5.90785712091,0,-7.46093114086,0,
19.9960000000015,5.90909204358,0,-7.46028037521,0,
19.9970000000015,5.9102871205,0,-7.45958690581,0,
19.9980000000015,5.91144271994,0,-7.45885205405,0,
19.9990000000015,5.91255920295,0,-7.45807710527,0,
20.0000000000015,5.91363692356,0,-7.4572633098,0,
20.0010000000015,5.91467622899,0,-7.45641188398,0,
20.0020000000015,5.91567745983,0,-7.45552401108,0,
20.0030000000015,5.91664095026,0,-7.45460084229,0,
20.0040000000015,5.9175670282,0,-7.45364349757,0,
20.0050000000015,5.91845601547,0,-7.45265306653,0,
20.0060000000015,5.919308228,0,-7.45163060925,0,
20.0070000000015,5.92012397594,0,-7.45057715708,0,
20.0080000000015,5.92090356384,0,-7.44949371343,0,
20.0090000000015,5.92164729079,0,-7.4483812545,0,
20.0100000000015,5.92235545056,0,-7.44724073002,0,
20.0110000000015,5.92302833173,0,-7.44607306393,0,
20.0120000000015,5.92366621784,0,-7.4448791551,0,
20.0130000000015,5.92426938749,0,-7.44365987793,0,
20.0140000000015,5.92483811449,0,-7.44241608306,0,
20.0150000000015,5.92537266794,0,-7.4411485979,0,
20.0160000000015,5.9258733124,0,-7.43985822733,0,
20.0170000000015,5.92634030794,0,-7.4385457542,0,
20.0180000000015,5.9267739103,0,-7.43721193996,0,
20.0190000000015,5.92717437095,0,-7.43585752515,0,
20.0200000000015,5.92754193721,0,-7.43448322999,0,
20.0210000000015,5.92787685236,0,-7.43308975488,0,
20.0220000000015,5.92817935571,0,-7.43167778087,0,
20.0230000000015,5.9284496827,0,-7.43024797021,0,
20.0240000000015,5.92868806501,0,-7.42880096679,0,
20.0250000000015,5.9288947306,0,-7.42733739661,0,
20.0260000000015,5.92906990383,0,-7.42585786825,0,
20.0270000000015,5.92921380555,0,-7.42436297327,0,
20.0280000000015,5.92932665314,0,-7.42285328669,0,
20.0290000000015,5.92940866061,0,-7.42132936738,0,
20.0300000000015,5.9294600387,0,-7.41979175844,0,
20.0310000000015,5.92948099491,0,-7.41824098766,0,
20.0320000000015,5.92947235132,0,-7.41667842763,0,
20.0330000000015,5.92943430244,0,-7.41510455382,0,
20.0340000000015,5.92936703985,0,-7.41351982811,0,
20.0350000000015,5.92927075232,0,-7.41192469909,0,
20.0360000000015,5.92914562583,0,-7.41031960243,0,
20.0370000000015,5.92899184368,0,-7.40870496115,0,
20.0380000000015,5.92880958652,0,-7.40708118599,0,
20.0390000000015,5.92859903239,0,-7.40544867569,0,
20.0400000000015,5.92836035682,0,-7.40380781729,0,
20.0410000000015,5.92809373286,0,-7.40215898643,0,
20.0420000000015,5.92747731991,0,-7.39883885458,0,
20.0430000000015,5.92712786513,0,-7.3971682504,0,
20.0440000000015,5.92675113046,0,-7.3954910679,0,
20.0450000000015,5.92634727737,0,-7.39380762987,0,
20.0460000000015,5.92591646517,0,-7.3921182493,0,
20.0470000000015,5.92545885103,0,-7.39042322963,0,
20.0480000000015,5.92497459006,0,-7.38872286503,0,
20.0490000000015,5.92446383536,0,-7.38701744057,0,
20.0500000000015,5.92392673802,0,-7.38530723252,0,
20.0510000000015,5.92336344722,0,-7.38359250852,0,
20.0520000000015,5.92277411024,0,-7.38187352783,0,
20.0530000000015,5.92215887252,0,-7.38015054154,0,
20.0540000000015,5.92151787768,0,-7.37842379276,0,
20.0550000000015,5.9208512676,0,-7.37669351687,0,
20.0560000000015,5.9201591824,0,-7.37495994167,0,
20.0570000000015,5.91944176055,0,-7.37322328758,0,
20.0580000000015,5.91869913885,0,-7.37148376789,0,
20.0590000000015,5.91793145251,0,-7.36974158886,0,
20.0600000000015,5.91713883516,0,-7.36799694997,0,
20.0610000000015,5.9163214189,0,-7.36625004408,0,
20.0620000000015,5.91547933435,0,-7.36450105757,0,
20.0630000000015,5.91461271065,0,-7.36275017057,0,
20.0640000000015,5.91372167553,0,-7.36099755708,0,
20.0650000000015,5.91280635531,0,-7.35924338514,0,
20.0660000000015,5.91186687498,0,-7.35748781701,0,
20.0670000000015,5.91090335819,0,-7.3557310093,0,
20.0680000000015,5.9099159273,0,-7.35397311315,0,
20.0690000000015,5.90890470343,0,-7.35221427434,0,
20.0700000000015,5.90786980645,0,-7.35045463347,0,
20.0710000000015,5.90681135507,0,-7.34869432608,0,
20.0720000000015,5.90572946679,0,-7.34693348281,0,
20.0730000000015,5.90462425801,0,-7.34517222951,0,
20.0740000000015,5.90349584403,0,-7.34341068739,0,
20.0750000000016,5.90234433904,0,-7.34164897315,0,
20.0760000000016,5.90116985623,0,-7.33988719907,0,
20.0770000000016,5.89997250773,0,-7.3381254732,0,
20.0780000000016,5.89875240471,0,-7.33636389944,0,
20.0790000000016,5.89750965736,0,-7.33460257763,0,
20.0800000000016,5.89624437494,0,-7.33284160374,0,
